product_id,name,from_public_id,to_public_id,status
1,Ampalaya,agricatch/vegetables/ampalaya/8-20260323-222758.jpeg,agricatch/vegetables/ampalaya/8-20260323-230215.jpeg,already_arranged
7,Calamansi,agricatch/fruits/calamansi/8-20260323-222759.jpeg,agricatch/fruits/calamansi/8-20260323-230215.jpeg,already_arranged
8,Ampalaya,agricatch/vegetables/ampalaya/8-20260323-222801.jpeg,agricatch/vegetables/ampalaya/8-20260323-230215.jpeg,already_arranged
9,Bawang,agricatch/vegetables/bawang/8-20260323-222802.jpeg,agricatch/vegetables/bawang/8-20260323-230215.jpeg,already_arranged
10,Bawang,agricatch/vegetables/bawang/8-20260323-222803.jpeg,agricatch/vegetables/bawang/8-20260323-230215.jpeg,already_arranged
11,Kangkong,agricatch/vegetables/kangkong/8-20260323-222805.jpeg,agricatch/vegetables/kangkong/8-20260323-230215.jpeg,already_arranged
12,Brown rice,agricatch/rice-grains-staples/brown-rice/20-20260323-222806.jpeg,agricatch/rice-grains-staples/brown-rice/20-20260323-230215.jpeg,already_arranged
15,Chico,agricatch/fruits/chico/8-20260323-222807.jpeg,agricatch/fruits/chico/8-20260323-230215.jpeg,already_arranged
16,Baboy - Atay,agricatch/meat-poultry/baboy-atay/8-20260323-222808.jpeg,agricatch/meat-poultry/baboy-atay/8-20260323-230215.jpeg,already_arranged
17,Baboy - Atay,agricatch/meat-poultry/baboy-atay/8-20260323-230000.jpeg,agricatch/meat-poultry/baboy-atay/8-20260323-230215.jpeg,already_arranged
