product_id,name,from_public_id,to_public_id,status
1,Ampalaya,products/1774240841566-21mufp2cfwqj,agricatch/products/1/ampalaya,migrated
7,Calamansi,products/1774240829797-otxet0huk4,agricatch/products/7/calamansi,migrated
8,Ampalaya,products/1774240813980-qjo8if1lmvs,agricatch/products/8/ampalaya,migrated
9,Bawang,products/1774240782376-od9eifmyh4,agricatch/products/9/bawang,migrated
10,Bawang,products/1774240768864-ne9ruvind4p,agricatch/products/10/bawang,migrated
11,Kangkong,products/gig7cbxg7pmwb3assihz,agricatch/products/11/kangkong,migrated
12,Brown rice,products/1774240988509-ooie6bcvdj,agricatch/products/12/brown-rice,migrated
15,Chico,products/1774250214001-e173g903tym,agricatch/products/15/chico,migrated
16,Baboy - Atay,agricatch/products/u586gyoh1pjrsds6rk8p,agricatch/products/16/baboy-atay,migrated
